INFO Question 4-2: dynamic price, update hours=(0,)
INFO [036/334] 2025-03-08 solved: price_mean=0.5973 plan_kWh=80949.740 emergency_kWh=0.000 total_cost=38306.984
INFO [037/334] 2025-03-09 solved: price_mean=0.7838 plan_kWh=79878.892 emergency_kWh=134.044 total_cost=51252.139
INFO [038/334] 2025-03-10 solved: price_mean=0.8025 plan_kWh=78889.618 emergency_kWh=1031.982 total_cost=55084.632
INFO [039/334] 2025-03-11 solved: price_mean=0.7894 plan_kWh=79148.314 emergency_kWh=147.137 total_cost=51242.327
INFO [040/334] 2025-03-12 solved: price_mean=0.7802 plan_kWh=79195.365 emergency_kWh=236.307 total_cost=50824.478
INFO [041/334] 2025-03-13 solved: price_mean=0.7996 plan_kWh=78419.422 emergency_kWh=1367.644 total_cost=56014.802
INFO [042/334] 2025-03-14 solved: price_mean=0.5914 plan_kWh=78916.402 emergency_kWh=0.000 total_cost=36131.256
INFO [043/334] 2025-03-15 solved: price_mean=0.6048 plan_kWh=77816.674 emergency_kWh=6.603 total_cost=37159.831
INFO [044/334] 2025-03-16 solved: price_mean=0.7849 plan_kWh=76826.314 emergency_kWh=119.934 total_cost=49164.211
INFO [045/334] 2025-03-17 solved: price_mean=0.7602 plan_kWh=76410.144 emergency_kWh=184.282 total_cost=47936.916
INFO [046/334] 2025-03-18 solved: price_mean=0.7760 plan_kWh=76496.865 emergency_kWh=104.609 total_cost=48104.330
INFO [047/334] 2025-03-19 solved: price_mean=0.7718 plan_kWh=76848.046 emergency_kWh=63.914 total_cost=47514.914
INFO [048/334] 2025-03-20 solved: price_mean=0.7786 plan_kWh=76140.732 emergency_kWh=213.745 total_cost=48543.054
INFO [049/334] 2025-03-21 solved: price_mean=0.5703 plan_kWh=75959.626 emergency_kWh=0.000 total_cost=33798.497
INFO [050/334] 2025-03-22 solved: price_mean=0.5874 plan_kWh=75416.255 emergency_kWh=9.078 total_cost=34368.430
INFO [051/334] 2025-03-23 solved: price_mean=0.7672 plan_kWh=74303.471 emergency_kWh=209.297 total_cost=46489.529
INFO [052/334] 2025-03-24 solved: price_mean=0.7675 plan_kWh=73594.577 emergency_kWh=186.519 total_cost=45603.258
INFO [053/334] 2025-03-25 solved: price_mean=0.7713 plan_kWh=73673.472 emergency_kWh=453.835 total_cost=47213.935
INFO [054/334] 2025-03-26 solved: price_mean=0.7566 plan_kWh=73615.378 emergency_kWh=161.242 total_cost=45171.959
INFO [055/334] 2025-03-27 solved: price_mean=0.7664 plan_kWh=73214.577 emergency_kWh=296.151 total_cost=45396.707
INFO [056/334] 2025-03-28 solved: price_mean=0.5748 plan_kWh=72943.823 emergency_kWh=0.000 total_cost=32396.892
INFO [057/334] 2025-03-29 solved: price_mean=0.5631 plan_kWh=72708.090 emergency_kWh=0.000 total_cost=32045.315
INFO [058/334] 2025-03-30 solved: price_mean=0.7520 plan_kWh=71664.057 emergency_kWh=316.302 total_cost=43589.167
INFO [059/334] 2025-03-31 solved: price_mean=0.7607 plan_kWh=71321.049 emergency_kWh=138.186 total_cost=43517.134
INFO [060/334] 2025-04-01 solved: price_mean=0.7731 plan_kWh=71216.104 emergency_kWh=924.848 total_cost=46999.634
INFO [061/334] 2025-04-02 solved: price_mean=0.7723 plan_kWh=71759.863 emergency_kWh=547.998 total_cost=46052.937
INFO [062/334] 2025-04-03 solved: price_mean=0.7645 plan_kWh=71008.174 emergency_kWh=328.259 total_cost=44019.188
INFO [063/334] 2025-04-04 solved: price_mean=0.5595 plan_kWh=70289.311 emergency_kWh=0.000 total_cost=31011.898
INFO [064/334] 2025-04-05 solved: price_mean=0.5755 plan_kWh=69830.096 emergency_kWh=0.000 total_cost=31255.125
INFO [065/334] 2025-04-06 solved: price_mean=0.7557 plan_kWh=68863.444 emergency_kWh=239.504 total_cost=42510.054
INFO [066/334] 2025-04-07 solved: price_mean=0.7517 plan_kWh=68438.995 emergency_kWh=198.042 total_cost=41481.840
INFO [067/334] 2025-04-08 solved: price_mean=0.7519 plan_kWh=68497.496 emergency_kWh=211.914 total_cost=41378.432
INFO [068/334] 2025-04-09 solved: price_mean=0.7663 plan_kWh=68644.362 emergency_kWh=429.525 total_cost=42643.634
INFO [069/334] 2025-04-10 solved: price_mean=0.7580 plan_kWh=68490.333 emergency_kWh=295.230 total_cost=41687.846
INFO [070/334] 2025-04-11 solved: price_mean=0.5515 plan_kWh=68098.628 emergency_kWh=0.000 total_cost=29567.435
INFO [071/334] 2025-04-12 solved: price_mean=0.5639 plan_kWh=67476.903 emergency_kWh=0.000 total_cost=29620.223
INFO [072/334] 2025-04-13 solved: price_mean=0.7563 plan_kWh=67191.152 emergency_kWh=209.548 total_cost=40864.194
INFO [073/334] 2025-04-14 solved: price_mean=0.7466 plan_kWh=66317.787 emergency_kWh=360.984 total_cost=40320.500
INFO [074/334] 2025-04-15 solved: price_mean=0.7385 plan_kWh=66363.122 emergency_kWh=204.851 total_cost=39525.604
INFO [075/334] 2025-04-16 solved: price_mean=0.7624 plan_kWh=66380.528 emergency_kWh=505.920 total_cost=41385.811
INFO [076/334] 2025-04-17 solved: price_mean=0.7478 plan_kWh=65654.056 emergency_kWh=129.016 total_cost=38916.721
INFO [077/334] 2025-04-18 solved: price_mean=0.5594 plan_kWh=65863.512 emergency_kWh=0.000 total_cost=28959.242
INFO [078/334] 2025-04-19 solved: price_mean=0.5580 plan_kWh=65396.374 emergency_kWh=0.000 total_cost=28400.303
INFO [079/334] 2025-04-20 solved: price_mean=0.7454 plan_kWh=64758.000 emergency_kWh=125.582 total_cost=38460.473
INFO [080/334] 2025-04-21 solved: price_mean=0.7340 plan_kWh=64189.083 emergency_kWh=349.211 total_cost=38247.672
INFO [081/334] 2025-04-22 solved: price_mean=0.7510 plan_kWh=64201.049 emergency_kWh=326.268 total_cost=38974.065
INFO [082/334] 2025-04-23 solved: price_mean=0.7479 plan_kWh=64281.913 emergency_kWh=493.082 total_cost=39573.430
INFO [083/334] 2025-04-24 solved: price_mean=0.7362 plan_kWh=64050.442 emergency_kWh=188.186 total_cost=38167.492
INFO [084/334] 2025-04-25 solved: price_mean=0.5407 plan_kWh=64486.317 emergency_kWh=0.000 total_cost=27012.041
INFO [085/334] 2025-04-26 solved: price_mean=0.5378 plan_kWh=63832.088 emergency_kWh=0.000 total_cost=26938.650
INFO [086/334] 2025-04-27 solved: price_mean=0.7338 plan_kWh=63010.605 emergency_kWh=233.836 total_cost=36648.792
INFO [087/334] 2025-04-28 solved: price_mean=0.7661 plan_kWh=62052.207 emergency_kWh=2511.194 total_cost=45864.816
INFO [088/334] 2025-04-29 solved: price_mean=0.7304 plan_kWh=63058.495 emergency_kWh=152.048 total_cost=36577.892
INFO [089/334] 2025-04-30 solved: price_mean=0.7294 plan_kWh=62667.387 emergency_kWh=432.001 total_cost=37641.594
INFO [090/334] 2025-05-01 solved: price_mean=0.7473 plan_kWh=63107.276 emergency_kWh=2262.162 total_cost=47605.701
INFO [091/334] 2025-05-02 solved: price_mean=0.5870 plan_kWh=62816.740 emergency_kWh=0.000 total_cost=28942.823
INFO [092/334] 2025-05-03 solved: price_mean=0.5698 plan_kWh=62329.829 emergency_kWh=18.392 total_cost=27984.979
INFO [093/334] 2025-05-04 solved: price_mean=0.7461 plan_kWh=61154.394 emergency_kWh=2568.323 total_cost=47963.469
INFO [094/334] 2025-05-05 solved: price_mean=0.7605 plan_kWh=61308.716 emergency_kWh=2455.502 total_cost=47274.230
INFO [095/334] 2025-05-06 solved: price_mean=0.7532 plan_kWh=61762.590 emergency_kWh=2175.005 total_cost=46475.254
INFO [096/334] 2025-05-07 solved: price_mean=0.7587 plan_kWh=61712.612 emergency_kWh=2080.672 total_cost=46748.987
INFO [097/334] 2025-05-08 solved: price_mean=0.7617 plan_kWh=61425.541 emergency_kWh=2675.069 total_cost=48215.617
INFO [098/334] 2025-05-09 solved: price_mean=0.5667 plan_kWh=62298.058 emergency_kWh=0.000 total_cost=28009.064
INFO [099/334] 2025-05-10 solved: price_mean=0.5753 plan_kWh=62183.749 emergency_kWh=0.000 total_cost=28028.412
INFO [100/334] 2025-05-11 solved: price_mean=0.7608 plan_kWh=60696.220 emergency_kWh=2310.009 total_cost=46686.412
INFO [101/334] 2025-05-12 solved: price_mean=0.7518 plan_kWh=60810.100 emergency_kWh=2034.170 total_cost=44263.053
INFO [102/334] 2025-05-13 solved: price_mean=0.7564 plan_kWh=61726.081 emergency_kWh=847.307 total_cost=40359.023
INFO [103/334] 2025-05-14 solved: price_mean=0.7476 plan_kWh=61596.014 emergency_kWh=949.648 total_cost=40060.211
INFO [104/334] 2025-05-15 solved: price_mean=0.7528 plan_kWh=61846.410 emergency_kWh=816.217 total_cost=40273.549
INFO [105/334] 2025-05-16 solved: price_mean=0.5454 plan_kWh=62285.238 emergency_kWh=0.000 total_cost=27685.113
INFO [106/334] 2025-05-17 solved: price_mean=0.5734 plan_kWh=62232.530 emergency_kWh=3.562 total_cost=28798.588
INFO [107/334] 2025-05-18 solved: price_mean=0.7507 plan_kWh=60758.134 emergency_kWh=1732.648 total_cost=41797.948
INFO [108/334] 2025-05-19 solved: price_mean=0.7318 plan_kWh=61184.150 emergency_kWh=406.158 total_cost=38297.160
INFO [109/334] 2025-05-20 solved: price_mean=0.7566 plan_kWh=60982.932 emergency_kWh=1986.972 total_cost=44494.528
INFO [110/334] 2025-05-21 solved: price_mean=0.7458 plan_kWh=61441.870 emergency_kWh=1146.606 total_cost=41333.935
INFO [111/334] 2025-05-22 solved: price_mean=0.7462 plan_kWh=61187.350 emergency_kWh=209.619 total_cost=37542.020
INFO [112/334] 2025-05-23 solved: price_mean=0.5570 plan_kWh=62064.150 emergency_kWh=0.000 total_cost=27769.726
INFO [113/334] 2025-05-24 solved: price_mean=0.5532 plan_kWh=61688.444 emergency_kWh=0.000 total_cost=27828.463
INFO [114/334] 2025-05-25 solved: price_mean=0.7380 plan_kWh=61164.246 emergency_kWh=337.788 total_cost=38018.416
INFO [115/334] 2025-05-26 solved: price_mean=0.7525 plan_kWh=60866.488 emergency_kWh=1897.304 total_cost=43184.827
INFO [116/334] 2025-05-27 solved: price_mean=0.7429 plan_kWh=61797.052 emergency_kWh=459.175 total_cost=38140.278
INFO [117/334] 2025-05-28 solved: price_mean=0.7513 plan_kWh=61435.278 emergency_kWh=1299.282 total_cost=41312.527
INFO [118/334] 2025-05-29 solved: price_mean=0.7595 plan_kWh=61383.232 emergency_kWh=994.696 total_cost=40833.878
INFO [119/334] 2025-05-30 solved: price_mean=0.5610 plan_kWh=62029.606 emergency_kWh=0.000 total_cost=28139.830
INFO [120/334] 2025-05-31 solved: price_mean=0.5664 plan_kWh=62563.819 emergency_kWh=90.662 total_cost=27551.031
INFO [121/334] 2025-06-01 solved: price_mean=0.8192 plan_kWh=60670.148 emergency_kWh=14599.559 total_cost=103307.541
INFO [122/334] 2025-06-02 solved: price_mean=0.8099 plan_kWh=61873.487 emergency_kWh=11565.536 total_cost=92649.431
INFO [123/334] 2025-06-03 solved: price_mean=0.8063 plan_kWh=62545.220 emergency_kWh=9752.135 total_cost=83867.606
INFO [124/334] 2025-06-04 solved: price_mean=0.8137 plan_kWh=64052.041 emergency_kWh=9806.183 total_cost=82010.276
INFO [125/334] 2025-06-05 solved: price_mean=0.8221 plan_kWh=65153.072 emergency_kWh=10161.058 total_cost=86402.306
INFO [126/334] 2025-06-06 solved: price_mean=0.6493 plan_kWh=67336.331 emergency_kWh=0.000 total_cost=34869.142
INFO [127/334] 2025-06-07 solved: price_mean=0.6503 plan_kWh=66601.998 emergency_kWh=76.188 total_cost=34731.544
INFO [128/334] 2025-06-08 solved: price_mean=0.7971 plan_kWh=65907.955 emergency_kWh=6274.040 total_cost=68728.942
INFO [129/334] 2025-06-09 solved: price_mean=0.8193 plan_kWh=66830.869 emergency_kWh=8514.457 total_cost=81895.238
INFO [130/334] 2025-06-10 solved: price_mean=0.8168 plan_kWh=69326.908 emergency_kWh=7061.401 total_cost=75676.530
INFO [131/334] 2025-06-11 solved: price_mean=0.8317 plan_kWh=71298.910 emergency_kWh=9537.965 total_cost=91587.433
INFO [132/334] 2025-06-12 solved: price_mean=0.8220 plan_kWh=72102.959 emergency_kWh=5422.612 total_cost=72241.567
INFO [133/334] 2025-06-13 solved: price_mean=0.6400 plan_kWh=73936.313 emergency_kWh=0.000 total_cost=38322.281
INFO [134/334] 2025-06-14 solved: price_mean=0.6369 plan_kWh=74238.445 emergency_kWh=0.000 total_cost=38914.298
INFO [135/334] 2025-06-15 solved: price_mean=0.8178 plan_kWh=73256.303 emergency_kWh=3244.129 total_cost=63405.022
INFO [136/334] 2025-06-16 solved: price_mean=0.8232 plan_kWh=73980.998 emergency_kWh=4131.032 total_cost=67890.823
INFO [137/334] 2025-06-17 solved: price_mean=0.8286 plan_kWh=75337.070 emergency_kWh=4897.816 total_cost=73769.735
INFO [138/334] 2025-06-18 solved: price_mean=0.8200 plan_kWh=76218.940 emergency_kWh=1918.914 total_cost=59248.292
INFO [139/334] 2025-06-19 solved: price_mean=0.8079 plan_kWh=76628.391 emergency_kWh=1120.927 total_cost=56596.605
INFO [140/334] 2025-06-20 solved: price_mean=0.6213 plan_kWh=78075.622 emergency_kWh=0.000 total_cost=39904.817
INFO [141/334] 2025-06-21 solved: price_mean=0.6095 plan_kWh=77616.459 emergency_kWh=0.000 total_cost=38449.110
INFO [142/334] 2025-06-22 solved: price_mean=0.8075 plan_kWh=77737.313 emergency_kWh=1114.635 total_cost=56396.578
INFO [143/334] 2025-06-23 solved: price_mean=0.8049 plan_kWh=77438.455 emergency_kWh=670.584 total_cost=54838.915
INFO [144/334] 2025-06-24 solved: price_mean=0.8405 plan_kWh=77902.628 emergency_kWh=4771.217 total_cost=75639.687
INFO [145/334] 2025-06-25 solved: price_mean=0.8163 plan_kWh=77997.851 emergency_kWh=1618.685 total_cost=59201.090
INFO [146/334] 2025-06-26 solved: price_mean=0.8060 plan_kWh=78812.387 emergency_kWh=529.372 total_cost=54525.685
INFO [147/334] 2025-06-27 solved: price_mean=0.6051 plan_kWh=79169.982 emergency_kWh=0.000 total_cost=39140.940
INFO [148/334] 2025-06-28 solved: price_mean=0.6230 plan_kWh=79492.799 emergency_kWh=0.000 total_cost=40007.831
INFO [149/334] 2025-06-29 solved: price_mean=0.8118 plan_kWh=78500.563 emergency_kWh=1006.366 total_cost=56829.168
INFO [150/334] 2025-06-30 solved: price_mean=0.8102 plan_kWh=78767.120 emergency_kWh=1068.171 total_cost=56776.183
INFO [151/334] 2025-07-01 solved: price_mean=0.8908 plan_kWh=79466.633 emergency_kWh=7000.389 total_cost=86899.028
INFO [152/334] 2025-07-02 solved: price_mean=0.8753 plan_kWh=79850.916 emergency_kWh=6209.504 total_cost=83691.850
INFO [153/334] 2025-07-03 solved: price_mean=0.9014 plan_kWh=79552.564 emergency_kWh=7144.685 total_cost=90493.573
INFO [154/334] 2025-07-04 solved: price_mean=0.6903 plan_kWh=80673.482 emergency_kWh=0.000 total_cost=44541.735
INFO [155/334] 2025-07-05 solved: price_mean=0.6843 plan_kWh=80679.446 emergency_kWh=71.998 total_cost=44851.195
INFO [156/334] 2025-07-06 solved: price_mean=0.8987 plan_kWh=79766.584 emergency_kWh=7598.773 total_cost=93088.026
INFO [157/334] 2025-07-07 solved: price_mean=0.8774 plan_kWh=80287.779 emergency_kWh=5794.306 total_cost=81772.757
INFO [158/334] 2025-07-08 solved: price_mean=0.8836 plan_kWh=80780.969 emergency_kWh=6242.804 total_cost=86310.590
INFO [159/334] 2025-07-09 solved: price_mean=0.8792 plan_kWh=82015.253 emergency_kWh=4318.212 total_cost=78191.351
INFO [160/334] 2025-07-10 solved: price_mean=0.8775 plan_kWh=83461.463 emergency_kWh=2808.663 total_cost=72961.313
INFO [161/334] 2025-07-11 solved: price_mean=0.7069 plan_kWh=84506.318 emergency_kWh=0.000 total_cost=49142.702
INFO [162/334] 2025-07-12 solved: price_mean=0.6943 plan_kWh=84978.137 emergency_kWh=0.000 total_cost=48164.940
INFO [163/334] 2025-07-13 solved: price_mean=0.8543 plan_kWh=83379.747 emergency_kWh=1815.503 total_cost=67326.028
INFO [164/334] 2025-07-14 solved: price_mean=0.8722 plan_kWh=84297.372 emergency_kWh=1583.479 total_cost=67788.978
INFO [165/334] 2025-07-15 solved: price_mean=0.8721 plan_kWh=84281.004 emergency_kWh=1544.299 total_cost=67608.434
INFO [166/334] 2025-07-16 solved: price_mean=0.8758 plan_kWh=84290.828 emergency_kWh=1469.122 total_cost=68426.118
INFO [167/334] 2025-07-17 solved: price_mean=0.8748 plan_kWh=84657.678 emergency_kWh=1302.124 total_cost=67040.700
INFO [168/334] 2025-07-18 solved: price_mean=0.6942 plan_kWh=84840.710 emergency_kWh=0.000 total_cost=48437.685
INFO [169/334] 2025-07-19 solved: price_mean=0.6803 plan_kWh=84676.268 emergency_kWh=30.382 total_cost=47564.101
INFO [170/334] 2025-07-20 solved: price_mean=0.8676 plan_kWh=83611.695 emergency_kWh=552.873 total_cost=62553.541
INFO [171/334] 2025-07-21 solved: price_mean=0.8792 plan_kWh=83410.857 emergency_kWh=1066.801 total_cost=66246.594
INFO [172/334] 2025-07-22 solved: price_mean=0.8751 plan_kWh=84019.612 emergency_kWh=1049.892 total_cost=65476.579
INFO [173/334] 2025-07-23 solved: price_mean=0.8756 plan_kWh=84062.713 emergency_kWh=978.471 total_cost=65160.982
INFO [174/334] 2025-07-24 solved: price_mean=0.8774 plan_kWh=83778.359 emergency_kWh=1262.801 total_cost=66865.843
INFO [175/334] 2025-07-25 solved: price_mean=0.6770 plan_kWh=84441.560 emergency_kWh=0.000 total_cost=47444.152
INFO [176/334] 2025-07-26 solved: price_mean=0.6880 plan_kWh=84495.678 emergency_kWh=0.000 total_cost=48027.637
INFO [177/334] 2025-07-27 solved: price_mean=0.8771 plan_kWh=82922.936 emergency_kWh=824.736 total_cost=63658.969
INFO [178/334] 2025-07-28 solved: price_mean=0.8862 plan_kWh=82832.363 emergency_kWh=2331.834 total_cost=70660.702
INFO [179/334] 2025-07-29 solved: price_mean=0.8846 plan_kWh=83677.929 emergency_kWh=1623.916 total_cost=67716.568
INFO [180/334] 2025-07-30 solved: price_mean=0.8797 plan_kWh=83442.094 emergency_kWh=799.515 total_cost=65194.151
INFO [181/334] 2025-07-31 solved: price_mean=0.8814 plan_kWh=83907.523 emergency_kWh=593.170 total_cost=63609.291
INFO [182/334] 2025-08-01 solved: price_mean=0.6664 plan_kWh=83714.229 emergency_kWh=0.000 total_cost=46998.356
INFO [183/334] 2025-08-02 solved: price_mean=0.6622 plan_kWh=83527.494 emergency_kWh=31.343 total_cost=45998.350
INFO [184/334] 2025-08-03 solved: price_mean=0.8334 plan_kWh=82750.344 emergency_kWh=354.507 total_cost=59970.493
INFO [185/334] 2025-08-04 solved: price_mean=0.8448 plan_kWh=82354.393 emergency_kWh=177.833 total_cost=59167.840
INFO [186/334] 2025-08-05 solved: price_mean=0.8446 plan_kWh=82228.204 emergency_kWh=134.395 total_cost=58870.504
INFO [187/334] 2025-08-06 solved: price_mean=0.8577 plan_kWh=82070.045 emergency_kWh=643.601 total_cost=62316.590
INFO [188/334] 2025-08-07 solved: price_mean=0.8411 plan_kWh=82089.264 emergency_kWh=324.134 total_cost=59029.955
INFO [189/334] 2025-08-08 solved: price_mean=0.6380 plan_kWh=82472.554 emergency_kWh=0.000 total_cost=44399.676
INFO [190/334] 2025-08-09 solved: price_mean=0.6530 plan_kWh=81991.988 emergency_kWh=0.000 total_cost=45217.497
INFO [191/334] 2025-08-10 solved: price_mean=0.8487 plan_kWh=80735.524 emergency_kWh=135.757 total_cost=58533.454
INFO [192/334] 2025-08-11 solved: price_mean=0.8396 plan_kWh=81032.310 emergency_kWh=280.429 total_cost=57671.620
INFO [193/334] 2025-08-12 solved: price_mean=0.8574 plan_kWh=80419.193 emergency_kWh=342.944 total_cost=59401.361
INFO [194/334] 2025-08-13 solved: price_mean=0.8532 plan_kWh=80502.057 emergency_kWh=419.149 total_cost=59459.355
INFO [195/334] 2025-08-14 solved: price_mean=0.8501 plan_kWh=80667.695 emergency_kWh=506.797 total_cost=59852.931
INFO [196/334] 2025-08-15 solved: price_mean=0.6512 plan_kWh=80657.187 emergency_kWh=0.000 total_cost=44881.484
INFO [197/334] 2025-08-16 solved: price_mean=0.6473 plan_kWh=80538.193 emergency_kWh=0.000 total_cost=44685.307
INFO [198/334] 2025-08-17 solved: price_mean=0.8399 plan_kWh=79728.517 emergency_kWh=448.237 total_cost=58807.298
INFO [199/334] 2025-08-18 solved: price_mean=0.8476 plan_kWh=79736.910 emergency_kWh=479.213 total_cost=59048.830
INFO [200/334] 2025-08-19 solved: price_mean=0.8429 plan_kWh=79571.987 emergency_kWh=412.481 total_cost=59253.586
INFO [201/334] 2025-08-20 solved: price_mean=0.8663 plan_kWh=79799.104 emergency_kWh=1386.519 total_cost=63647.337
INFO [202/334] 2025-08-21 solved: price_mean=0.8472 plan_kWh=79684.723 emergency_kWh=333.896 total_cost=58443.396
INFO [203/334] 2025-08-22 solved: price_mean=0.6605 plan_kWh=79799.806 emergency_kWh=0.000 total_cost=44883.924
INFO [204/334] 2025-08-23 solved: price_mean=0.6592 plan_kWh=79900.898 emergency_kWh=0.000 total_cost=43846.674
INFO [205/334] 2025-08-24 solved: price_mean=0.8410 plan_kWh=78241.577 emergency_kWh=597.563 total_cost=58808.974
INFO [206/334] 2025-08-25 solved: price_mean=0.8602 plan_kWh=77835.309 emergency_kWh=2026.211 total_cost=63982.386
INFO [207/334] 2025-08-26 solved: price_mean=0.8444 plan_kWh=78505.364 emergency_kWh=446.833 total_cost=57471.691
INFO [208/334] 2025-08-27 solved: price_mean=0.8534 plan_kWh=78844.045 emergency_kWh=715.763 total_cost=59091.056
INFO [209/334] 2025-08-28 solved: price_mean=0.8635 plan_kWh=77822.080 emergency_kWh=2150.576 total_cost=65546.037
INFO [210/334] 2025-08-29 solved: price_mean=0.6645 plan_kWh=77811.445 emergency_kWh=0.000 total_cost=43870.376
INFO [211/334] 2025-08-30 solved: price_mean=0.6547 plan_kWh=77009.585 emergency_kWh=0.000 total_cost=43593.602
INFO [212/334] 2025-08-31 solved: price_mean=0.8465 plan_kWh=75874.777 emergency_kWh=1274.798 total_cost=58981.473
INFO [213/334] 2025-09-01 solved: price_mean=0.7517 plan_kWh=74807.303 emergency_kWh=244.233 total_cost=48342.362
INFO [214/334] 2025-09-02 solved: price_mean=0.7540 plan_kWh=75143.444 emergency_kWh=61.751 total_cost=47789.481
INFO [215/334] 2025-09-03 solved: price_mean=0.7610 plan_kWh=75259.727 emergency_kWh=90.605 total_cost=49091.491
INFO [216/334] 2025-09-04 solved: price_mean=0.7570 plan_kWh=75224.321 emergency_kWh=106.141 total_cost=48297.532
INFO [217/334] 2025-09-05 solved: price_mean=0.5586 plan_kWh=75107.151 emergency_kWh=0.000 total_cost=36816.608
INFO [218/334] 2025-09-06 solved: price_mean=0.5657 plan_kWh=75440.521 emergency_kWh=0.000 total_cost=36724.173
INFO [219/334] 2025-09-07 solved: price_mean=0.7593 plan_kWh=74259.394 emergency_kWh=116.565 total_cost=47556.344
INFO [220/334] 2025-09-08 solved: price_mean=0.7735 plan_kWh=74207.535 emergency_kWh=761.115 total_cost=51149.359
